#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T11:02:48 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T11:02:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/554/A98/table5&-out.max=99999&-out=Teff,logg,M,f1(V),f2(V),f3(V),f4(V)	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35540098
#Name: J/A+A/554/A98
#Title: Limb-darkening coefficients for red giants (Neilson+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/554/a98	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/554/a98	    IVOID of underlying data collection
#INFO	creator=Neilson H.R.	    First author or institution
#INFO	cites=bibcode:2013A&A...554A..98N	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/554/A98	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35540098	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-12-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_554_A98_table5:
#Name: J/A+A/554/A98/table5
#Title: Spherical 4-parameter limb-darkening coefficients
#Column	Teff	(I4)	[3000/8000] Model effective temperature	[ucd=phys.temperature.effective;meta.modelled]
#Column	logg	(F5.2)	[-1/3] Model surface gravity	[ucd=phys.gravity;meta.modelled]
#Column	M	(F4.1)	[0.5/20] Model mass	[ucd=phys.mass;meta.modelled]
#Column	f1(V)	(F7.4)	V-band four-parameter f_1_ coefficient (G4)	[ucd=phot.limbDark]
#Column	f2(V)	(F8.4)	V-band four-parameter f_2_ coefficient (G4)	[ucd=phot.limbDark]
#Column	f3(V)	(F8.4)	V-band four-parameter f_3_ coefficient (G4)	[ucd=phot.limbDark]
#Column	f4(V)	(F8.4)	V-band four-parameter f_4_ coefficient (G4)	[ucd=phot.limbDark]
Teff	logg	M	f1(V)	f2(V)	f3(V)	f4(V)
3100	 2.75	10.0	-4.9570	 20.7570	-30.8187	 15.6842
3200	 2.00	10.0	 0.2912	  2.7307	 -4.4748	  2.4693
3200	 2.25	10.0	-0.5020	  4.2524	 -5.7221	  2.9209
3200	 2.50	10.0	-2.1771	 10.3865	-15.0954	  7.7283
3200	 0.25	10.0	-1.4823	  6.8955	 -9.1771	  4.6856
3200	 2.75	10.0	-3.2656	 14.2810	-20.7908	 10.5530
3300	 2.00	10.0	 1.2315	 -0.9621	  0.4257	  0.3874
3300	 2.25	10.0	 0.7785	  0.6436	 -1.7239	  1.3465
3300	 2.50	10.0	 1.7324	 -2.4624	  3.3053	 -1.4630
3300	 0.25	10.0	-2.7769	 11.4542	-14.1802	  6.3379
3300	 2.75	10.0	-0.5427	  4.2902	 -5.9091	  3.0902
3400	 2.00	10.0	 0.8046	  0.0661	 -0.9051	  1.1077
3400	 2.25	10.0	 1.2887	 -1.5974	  1.2323	  0.1662
3400	 2.50	10.0	 1.3776	 -2.0647	  2.0663	 -0.2970
3400	 0.25	10.0	-1.7166	  6.4276	 -7.0405	  3.2189
3400	 2.75	10.0	 2.1275	 -3.8866	  4.7289	 -1.8427
3500	 2.00	10.0	 0.7246	  0.7880	 -1.8744	  1.4479
3500	 2.25	10.0	 1.1496	 -1.3306	  1.1359	  0.1401
3500	 2.50	10.0	 1.3452	 -1.8702	  1.7183	 -0.0950
3500	 0.25	10.0	-2.2018	  7.5951	 -7.6691	  3.1222
3500	 2.75	10.0	 1.5161	 -2.5801	  2.7567	 -0.5956
3600	 2.00	10.0	 0.6526	  0.7108	 -1.3339	  1.0548
3600	 2.25	10.0	 1.0849	 -0.4616	 -0.3406	  0.8250
3600	 2.50	10.0	 1.3497	 -1.5250	  1.2708	  0.0200
3600	 0.25	10.0	-2.3234	  7.8035	 -7.6903	  3.0436
3600	 2.75	10.0	 1.5307	 -2.5298	  2.6681	 -0.5589
3700	 2.00	10.0	 0.5828	  1.1667	 -2.0547	  1.3912
3700	 2.25	10.0	 1.0036	 -0.2417	 -0.3311	  0.6772
3700	 2.50	10.0	 1.3267	 -1.3759	  1.0596	  0.1097
3700	 0.25	10.0	-2.3683	  7.7407	 -7.3355	  2.7896
3700	 2.75	10.0	 1.5544	 -2.2520	  2.1959	 -0.3744
3800	 2.00	10.0	 0.4896	  1.5655	 -2.5267	  1.5555
3800	 2.25	10.0	 0.9371	  0.0916	 -0.7673	  0.8469
3800	 2.50	10.0	 1.2981	 -1.1616	  0.7770	  0.2104
3800	 0.25	10.0	-2.4198	  7.7469	 -7.1134	  2.6058
3800	 2.75	10.0	 1.5674	 -2.1594	  2.0505	 -0.3273
3900	 2.00	10.0	 0.3665	  2.0339	 -3.0760	  1.7538
3900	 2.25	10.0	 0.8560	  0.4307	 -1.1613	  0.9809
3900	 2.50	10.0	 1.2968	 -1.0698	  0.6763	  0.2244
3900	 0.25	10.0	-2.4766	  7.8225	 -7.0333	  2.5007
3900	 2.75	10.0	 1.5445	 -1.9766	  1.8150	 -0.2485
4000	 2.00	10.0	 0.3384	  2.2124	 -3.2930	  1.8209
4000	 2.25	10.0	 0.7850	  0.7351	 -1.5200	  1.1041
4000	 2.50	10.0	 1.1982	 -0.6680	  0.1897	  0.4048
4000	 0.25	10.0	-2.5474	  7.9700	 -7.0727	  2.4564
4000	 2.75	10.0	 1.5230	 -1.8262	  1.6373	 -0.1975
4100	 2.00	10.0	 0.2050	  2.7159	 -3.9045	  2.0552
4100	 2.25	10.0	 0.7360	  0.9819	 -1.8333	  1.2187
4100	 2.50	10.0	 1.1706	 -0.4877	 -0.0455	  0.4882
4100	 0.25	10.0	-2.6569	  8.3750	 -7.5186	  2.5996
4100	 2.75	10.0	 1.5118	 -1.7064	  1.4853	 -0.1520
4200	 2.00	10.0	 0.1586	  2.9571	 -4.2119	  2.1666
4200	 2.25	10.0	 0.7118	  1.1580	 -2.0685	  1.3028
4200	 2.50	10.0	 1.1584	 -0.3593	 -0.2154	  0.5435
4200	 0.25	10.0	-2.6895	  8.3261	 -7.2752	  2.4321
4200	 2.75	10.0	 1.5155	 -1.6311	  1.3783	 -0.1212
4300	 2.00	10.0	 0.1099	  3.2226	 -4.5706	  2.3072
4300	 2.25	10.0	 0.6827	  1.3603	 -2.3527	  1.4141
4300	 2.50	10.0	 1.1590	 -0.2592	 -0.3710	  0.6005
4300	 0.25	10.0	-2.7562	  8.4883	 -7.3581	  2.4134
4300	 2.75	10.0	 1.5315	 -1.5822	  1.2871	 -0.0914
4400	 2.00	10.0	 0.0700	  3.4643	 -4.9003	  2.4344
4400	 2.25	10.0	 0.6636	  1.5345	 -2.6039	  1.5110
4400	 2.50	10.0	 1.1607	 -0.1560	 -0.5348	  0.6617
4400	 0.25	10.0	-2.8180	  8.6352	 -7.4230	  2.3874
4400	 2.75	10.0	 1.5483	 -1.5349	  1.1931	 -0.0584
4500	 2.00	10.0	 0.0300	  3.7102	 -5.2440	  2.5719
4500	 2.25	10.0	 0.6508	  1.6932	 -2.8442	  1.6067
4500	 2.50	10.0	 1.1613	 -0.0367	 -0.7321	  0.7414
4500	 0.25	10.0	-2.8487	  8.6447	 -7.2946	  2.2763
4500	 2.75	10.0	 1.5597	 -1.4576	  1.0500	 -0.0012
4600	 2.00	10.0	-0.0154	  3.9788	 -5.6200	  2.7238
4600	 2.25	10.0	 0.6330	  1.8757	 -3.1218	  1.7208
4600	 2.50	10.0	 1.1678	  0.0589	 -0.8996	  0.8096
4600	 0.25	10.0	-2.9397	  8.9741	 -7.6573	  2.3943
4600	 2.75	10.0	 1.6003	 -1.4791	  1.0285	  0.0056
4700	 2.00	10.0	-0.0688	  4.2811	 -6.0439	  2.8975
4700	 2.25	10.0	 0.6297	  2.0180	 -3.3546	  1.8167
4700	 2.50	10.0	 1.1835	  0.1360	 -1.0515	  0.8720
4700	 0.25	10.0	-2.8625	  8.4446	 -6.7253	  1.9151
4700	 2.75	10.0	 1.6135	 -1.3984	  0.8746	  0.0690
4800	 2.00	10.0	-0.1207	  4.5703	 -6.4528	  3.0677
4800	 2.25	10.0	 0.5927	  2.2748	 -3.7346	  1.9772
4800	 2.50	10.0	 1.1694	  0.3213	 -1.3491	  1.0004
4800	 0.25	10.0	-2.8387	  8.2178	 -6.2648	  1.6566
4800	 2.75	10.0	 1.6267	 -1.3046	  0.6912	  0.1492
4900	 2.00	10.0	-0.2553	  5.1171	 -7.1587	  3.3544
4900	 2.25	10.0	 0.5159	  2.6430	 -4.2358	  2.1843
4900	 2.50	10.0	 1.1395	  0.5530	 -1.6997	  1.1501
4900	 0.25	10.0	-2.7712	  7.7863	 -5.5112	  1.2682
4900	 2.75	10.0	 1.6273	 -1.1640	  0.4436	  0.2588
5000	 2.00	10.0	-0.4019	  5.6982	 -7.9083	  3.6617
5000	 2.25	10.0	 0.4197	  3.0812	 -4.8289	  2.4319
5000	 2.50	10.0	 1.0727	  0.9034	 -2.1914	  1.3572
5000	 0.25	10.0	-2.7012	  7.3585	 -4.7644	  0.8809
5000	 2.75	10.0	 1.5953	 -0.9260	  0.0874	  0.4105
5100	 2.00	10.0	-0.6178	  6.4839	 -8.8837	  4.0542
5100	 2.25	10.0	 0.2694	  3.6904	 -5.6270	  2.7640
5100	 2.50	10.0	 0.9700	  1.3776	 -2.8421	  1.6333
5100	 0.25	10.0	-2.4517	  6.1367	 -2.8845	 -0.0153
5100	 2.75	10.0	 1.5396	 -0.5931	 -0.4013	  0.6228
5200	 2.00	10.0	-0.7934	  7.1350	 -9.6971	  4.3816
5200	 2.25	10.0	 0.0795	  4.4158	 -6.5500	  3.1412
5200	 2.50	10.0	 0.8472	  1.9116	 -3.5598	  1.9352
5200	 0.25	10.0	-2.0916	  4.5014	 -0.4668	 -1.1386
5200	 2.75	10.0	 1.4691	 -0.2154	 -0.9424	  0.8563
5300	 2.00	10.0	-0.9702	  7.7751	-10.4890	  4.6993
5300	 2.25	10.0	-0.0645	  4.9783	 -7.2724	  3.4375
5300	 2.50	10.0	 0.7324	  2.4002	 -4.2057	  2.2027
5300	 2.75	10.0	 1.3820	  0.2014	 -1.5156	  1.0978
5400	 2.00	10.0	-1.1381	  8.3927	-11.2629	  5.0132
5400	 2.25	10.0	-0.1949	  5.4929	 -7.9395	  3.7136
5400	 2.50	10.0	 0.6300	  2.8442	 -4.8041	  2.4555
5400	 2.75	10.0	 1.3291	  0.4974	 -1.9470	  1.2859
5500	 2.00	10.0	-1.2807	  8.9065	-11.8925	  5.2626
5500	 2.25	10.0	-0.3268	  6.0045	 -8.5914	  3.9786
5500	 2.50	10.0	 0.5480	  3.2101	 -5.2985	  2.6630
5500	 2.75	10.0	 1.2814	  0.7620	 -2.3273	  1.4491
5600	 2.00	10.0	-1.4303	  9.4267	-12.5164	  5.5062
5600	 2.25	10.0	-0.4493	  6.4662	 -9.1714	  4.2125
5600	 2.50	10.0	 0.4519	  3.6109	 -5.8231	  2.8785
5600	 2.75	10.0	 1.2177	  1.0783	 -2.7685	  1.6364
5700	 2.00	10.0	-1.5597	  9.8836	-13.0703	  5.7242
5700	 2.25	10.0	-0.5503	  6.8570	 -9.6700	  4.4159
5700	 2.50	10.0	 0.3805	  3.9240	 -6.2456	  3.0565
5700	 2.75	10.0	 1.1811	  1.2915	 -3.0814	  1.7727
5800	 2.00	10.0	-1.6107	 10.0926	-13.3313	  5.8245
5800	 2.25	10.0	-0.5877	  7.0361	 -9.9092	  4.5120
5800	 2.50	10.0	 0.3593	  4.0558	 -6.4320	  3.1325
5800	 2.75	10.0	 1.1777	  1.3737	 -3.2158	  1.8299
5900	 2.00	10.0	-1.6396	 10.2362	-13.5259	  5.9034
5900	 2.25	10.0	-0.5994	  7.1303	-10.0491	  4.5698
5900	 2.50	10.0	 0.3583	  4.1268	 -6.5555	  3.1872
5900	 2.75	10.0	 1.1906	  1.4015	 -3.2882	  1.8639
6000	 2.00	10.0	-1.6531	 10.3158	-13.6262	  5.9373
6000	 2.25	10.0	-0.6025	  7.1839	-10.1263	  4.5972
6000	 2.50	10.0	 0.3684	  4.1419	 -6.5906	  3.1990
6000	 2.75	10.0	 1.2119	  1.3868	 -3.2946	  1.8664
6100	 2.00	10.0	-1.6645	 10.3831	-13.7064	  5.9615
6100	 2.25	10.0	-0.6010	  7.2157	-10.1714	  4.6099
6100	 2.50	10.0	 0.3843	  4.1301	 -6.5870	  3.1932
6100	 2.75	10.0	 1.2394	  1.3412	 -3.2543	  1.8470
6200	 2.00	10.0	-1.6833	 10.4771	-13.8261	  6.0053
6200	 2.25	10.0	-0.6064	  7.2714	-10.2498	  4.6384
6200	 2.50	10.0	 0.3971	  4.1325	 -6.6077	  3.2005
6200	 2.75	10.0	 1.2650	  1.3013	 -3.2253	  1.8349
6300	 2.00	10.0	-1.7177	 10.6104	-13.9776	  6.0558
6300	 2.25	10.0	-0.6234	  7.3548	-10.3482	  4.6698
6300	 2.50	10.0	 0.4026	  4.1463	 -6.6269	  3.2015
6300	 2.75	10.0	 1.2845	  1.2712	 -3.1945	  1.8167
6400	 2.00	10.0	-1.7602	 10.7738	-14.1720	  6.1268
6400	 2.25	10.0	-0.6528	  7.4806	-10.5024	  4.7263
6400	 2.50	10.0	 0.3974	  4.2003	 -6.7032	  3.2294
6400	 2.75	10.0	 1.2955	  1.2715	 -3.2056	  1.8180
6500	 2.00	10.0	-1.8356	 11.0256	-14.4513	  6.2246
6500	 2.25	10.0	-0.7077	  7.6794	-10.7314	  4.8080
6500	 2.50	10.0	 0.3707	  4.3137	 -6.8357	  3.2741
6500	 2.75	10.0	 1.2866	  1.3303	 -3.2778	  1.8404
6600	 2.00	10.0	-1.9533	 11.4035	-14.8726	  6.3771
6600	 2.25	10.0	-0.7914	  7.9692	-11.0665	  4.9316
6600	 2.50	10.0	 0.3195	  4.5089	 -7.0675	  3.3591
6600	 2.75	10.0	 1.2606	  1.4485	 -3.4226	  1.8922
6700	 2.00	10.0	-2.0300	 11.6646	-15.1731	  6.4880
6700	 2.25	10.0	-0.8781	  8.2714	-11.4226	  5.0666
6700	 2.50	10.0	 0.2722	  4.6953	 -7.2965	  3.4464
6700	 2.75	10.0	 1.2256	  1.6001	 -3.6138	  1.9655
6800	 2.00	10.0	-2.1726	 12.1175	-15.6836	  6.6775
6800	 2.25	10.0	-0.9797	  8.6183	-11.8269	  5.2188
6800	 2.50	10.0	 0.1719	  5.0498	 -7.7173	  3.6071
6800	 2.75	10.0	 1.1650	  1.8342	 -3.8983	  2.0735
6900	 2.00	10.0	-2.2575	 12.4003	-16.0112	  6.8012
6900	 2.25	10.0	-1.0853	  8.9780	-12.2506	  5.3813
6900	 2.50	10.0	 0.1145	  5.2669	 -7.9800	  3.7068
6900	 2.75	10.0	 1.1130	  2.0430	 -4.1585	  2.1744
7000	 2.00	10.0	-2.4040	 12.8775	-16.5724	  7.0209
7000	 2.25	10.0	-1.2517	  9.5292	-12.9004	  5.6348
7000	 2.50	10.0	-0.0065	  5.6911	 -8.4906	  3.9066
7000	 2.75	10.0	 1.0081	  2.4260	 -4.6256	  2.3577
7100	 2.00	10.0	-2.7124	 13.8052	-17.6092	  7.4145
7100	 2.25	10.0	-1.5479	 10.4704	-13.9936	  6.0617
7100	 2.50	10.0	-0.1417	  6.1640	 -9.0653	  4.1352
7100	 2.75	10.0	 0.9049	  2.8053	 -5.0918	  2.5421
7200	 2.00	10.0	-2.8096	 14.1303	-17.9930	  7.5633
7200	 2.25	10.0	-1.2327	  9.5667	-13.0114	  5.6921
7200	 2.50	10.0	-0.2707	  6.6149	 -9.6179	  4.3577
7200	 2.75	10.0	 0.7818	  3.2529	 -5.6479	  2.7668
7300	 2.00	10.0	-3.3071	 15.5483	-19.4950	  8.1041
7300	 2.25	10.0	-2.0842	 12.1680	-15.9766	  6.8439
7300	 2.50	10.0	-0.1035	  6.1372	 -9.0985	  4.1609
7300	 2.75	10.0	 0.8669	  3.0197	 -5.3949	  2.6677
7400	 2.00	10.0	-3.4018	 15.8782	-19.8803	  8.2475
7400	 2.25	10.0	-2.3749	 13.0745	-17.0086	  7.2382
7400	 2.50	10.0	-0.9206	  8.7639	-12.2087	  5.4054
7400	 2.75	10.0	 0.8853	  3.0088	 -5.4184	  2.6854
7500	 2.00	10.0	-3.7654	 16.9168	-20.9703	  8.6326
7500	 2.25	10.0	-2.6107	 13.8262	-17.8760	  7.5721
7500	 2.50	10.0	-1.1611	  9.5614	-13.1636	  5.7868
7500	 2.75	10.0	 0.0603	  5.7633	 -8.7654	  4.0512
7600	 2.25	10.0	-2.8863	 14.6962	-18.8730	  7.9539
7600	 2.50	10.0	-1.3895	 10.3293	-14.0868	  6.1547
7600	 2.75	10.0	-0.1315	  6.4381	 -9.6105	  4.4015
7700	 2.25	10.0	-2.9935	 15.0878	-19.3469	  8.1362
7700	 2.50	10.0	-1.5091	 10.7724	-14.6347	  6.3715
7700	 2.75	10.0	-0.2550	  6.9057	-10.2087	  4.6480
7800	 2.50	10.0	-1.7584	 11.6149	-15.6489	  6.7753
7800	 2.75	10.0	-0.4782	  7.6922	-11.1822	  5.0443
7900	 2.50	10.0	-1.8920	 12.1159	-16.2768	  7.0274
7900	 2.75	10.0	-0.5903	  8.1342	-11.7451	  5.2708
8000	 2.50	10.0	-2.1222	 12.9027	-17.2316	  7.4096
8000	 2.75	10.0	-0.7910	  8.8595	-12.6586	  5.6470
3000	 0.50	10.0	-1.3980	  7.3907	 -9.1945	  4.1289
3100	 0.50	10.0	-1.7188	  8.7462	-11.0528	  4.9391
3200	 0.50	10.0	-1.3788	  7.2271	 -9.6603	  4.7492
3300	 0.50	10.0	-2.0550	  9.3614	-11.8595	  5.4463
3400	 0.50	10.0	-1.5035	  6.3944	 -7.5144	  3.5409
3500	 0.50	10.0	-2.1144	  8.0909	 -8.8899	  3.7817
3600	 0.50	10.0	-2.3307	  8.7056	 -9.5031	  3.9786
3700	 0.50	10.0	-2.4902	  9.0418	 -9.6585	  3.9420
3800	 0.50	10.0	-2.5927	  9.2733	 -9.7740	  3.9190
3900	 0.50	10.0	-2.6949	  9.5230	 -9.9238	  3.9121
4000	 0.50	10.0	-2.7972	  9.8018	-10.1412	  3.9442
4100	 0.50	10.0	-2.9109	 10.1571	-10.4919	  4.0444
4200	 0.50	10.0	-3.0154	 10.4757	-10.7878	  4.1178
4300	 0.50	10.0	-3.1143	 10.7862	-11.0936	  4.2043
4400	 0.50	10.0	-3.2187	 11.0860	-11.3515	  4.2581
4500	 0.50	10.0	-3.3087	 11.3732	-11.6360	  4.3385
4600	 0.50	10.0	-3.3809	 11.5297	-11.6976	  4.3086
4700	 0.50	10.0	-3.4560	 11.6791	-11.7380	  4.2671
4800	 0.50	10.0	-3.5221	 11.8237	-11.7952	  4.2394
4900	 0.50	10.0	-3.5372	 11.5894	-11.2128	  3.8995
5000	 0.50	10.0	-3.5827	 11.6812	-11.2236	  3.8595
5100	 0.50	10.0	-3.5943	 11.4917	-10.7412	  3.5727
5200	 0.50	10.0	-3.4104	 10.3484	 -8.8390	  2.6333
5300	 0.50	10.0	-3.2500	  9.4460	 -7.3668	  1.9081
5400	 0.50	10.0	-3.2293	  9.2545	 -6.9935	  1.7049
5500	 0.50	10.0	-3.1664	  8.8828	 -6.3575	  1.3792
5600	 0.50	10.0	-3.0401	  8.2307	 -5.3153	  0.8681
5700	 0.50	10.0	-1.3191	  0.9323	  4.9813	 -3.7492
3000	 0.75	10.0	-1.0685	  6.5657	 -8.3279	  3.7818
3100	 0.75	10.0	-1.1541	  7.1246	 -9.1413	  4.1233
