#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T11:07:02 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T11:07:02	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/529/A75/tableeq5&Z=0.0&xi=2.0&Filt=%3D%3DV&Met=L&Mod=A&-out.max=99999&-out=logg,Teff,a1,a2,a3,a4	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35290075
#Name: J/A+A/529/A75
#Title: Limb-darkening coefficients (Claret+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/529/a75	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/529/a75	    IVOID of underlying data collection
#INFO	creator=Claret A.	    First author or institution
#INFO	cites=bibcode:2011A&A...529A..75C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/529/A75	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35290075	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_529_A75_tableeq5:
#Name: J/A+A/529/A75/tableeq5
#Title: a1, a2, a3, a4 limb darkening coefficients from equation 5
#Column	logg	(F5.2)	[0/5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[2000/50000] Effective temperature	[ucd=phys.temperature.effective]
#Column	a1	(F7.4)	Equation 5 limb darkening coefficient a1 (G2)	[ucd=phot.limbDark]
#Column	a2	(F7.4)	Equation 5 limb darkening coefficient a2 (G2)	[ucd=phot.limbDark]
#Column	a3	(F7.4)	Equation 5 limb darkening coefficient a3 (G2)	[ucd=phot.limbDark]
#Column	a4	(F7.4)	Equation 5 limb darkening coefficient a4 (G2)	[ucd=phot.limbDark]
logg	Teff	a1	a2	a3	a4
 1.00	  4250	 0.4885	-0.3768	 1.1436	-0.3646
 1.50	  4250	 0.5861	-0.6226	 1.3988	-0.4571
 2.00	  4250	 0.6525	-0.7901	 1.5624	-0.5116
 2.50	  4250	 0.6898	-0.8820	 1.6374	-0.5293
 3.00	  4250	 0.7019	-0.9057	 1.6364	-0.5183
 3.50	  4250	 0.7026	-0.9077	 1.6220	-0.5075
 4.00	  4250	 0.6910	-0.8800	 1.5869	-0.4965
 4.50	  4250	 0.6168	-0.5424	 1.1647	-0.3549
 5.00	  4250	 0.5362	 0.1282	 0.2415	-0.0446
 0.00	  4500	 0.2357	 0.2863	 0.4394	-0.1399
 0.50	  4500	 0.3398	 0.0714	 0.6776	-0.2411
 1.00	  4500	 0.4497	-0.1835	 0.9472	-0.3441
 1.50	  4500	 0.5408	-0.4264	 1.2251	-0.4552
 2.00	  4500	 0.5987	-0.5886	 1.4014	-0.5191
 2.50	  4500	 0.6400	-0.7201	 1.5424	-0.5660
 3.00	  4500	 0.6598	-0.7868	 1.6051	-0.5818
 3.50	  4500	 0.6719	-0.8308	 1.6405	-0.5871
 4.00	  4500	 0.6792	-0.8620	 1.6676	-0.5940
 4.50	  4500	 0.6738	-0.8523	 1.6485	-0.5850
 5.00	  4500	 0.5991	-0.5320	 1.2390	-0.4349
 0.00	  4750	 0.1718	 0.5131	 0.1882	-0.0807
 0.50	  4750	 0.3073	 0.2042	 0.5311	-0.2196
 1.00	  4750	 0.4051	 0.0166	 0.7169	-0.2941
 1.50	  4750	 0.5042	-0.2356	 0.9980	-0.4049
 2.00	  4750	 0.5723	-0.4318	 1.2296	-0.4979
 2.50	  4750	 0.6134	-0.5671	 1.3941	-0.5628
 3.00	  4750	 0.6323	-0.6473	 1.4927	-0.5987
 3.50	  4750	 0.6361	-0.6835	 1.5322	-0.6072
 4.00	  4750	 0.6390	-0.7189	 1.5786	-0.6238
 4.50	  4750	 0.6390	-0.7404	 1.6000	-0.6275
 5.00	  4750	 0.6348	-0.7429	 1.6033	-0.6285
 0.00	  5000	 0.0629	 0.9148	-0.3151	 0.0974
 0.50	  5000	 0.1617	 0.7575	-0.1712	 0.0400
 1.00	  5000	 0.2947	 0.4463	 0.1704	-0.0980
 1.50	  5000	 0.4152	 0.0988	 0.5931	-0.2738
 2.00	  5000	 0.4912	-0.1058	 0.8347	-0.3750
 2.50	  5000	 0.5533	-0.3071	 1.0873	-0.4800
 3.00	  5000	 0.5925	-0.4469	 1.2642	-0.5517
 3.50	  5000	 0.6102	-0.5268	 1.3666	-0.5902
 4.00	  5000	 0.6081	-0.5486	 1.4003	-0.6011
 4.50	  5000	 0.6057	-0.5731	 1.4374	-0.6132
 5.00	  5000	 0.6032	-0.5950	 1.4757	-0.6301
 0.00	  5250	-0.0284	 1.3078	-0.8482	 0.3007
 0.50	  5250	 0.0851	 1.1027	-0.6563	 0.2296
 1.00	  5250	 0.1922	 0.8872	-0.4386	 0.1438
 1.50	  5250	 0.3046	 0.5461	 0.0007	-0.0473
 2.00	  5250	 0.3789	 0.3458	 0.2410	-0.1498
 2.50	  5250	 0.4441	 0.1235	 0.5374	-0.2803
 3.00	  5250	 0.4963	-0.0593	 0.7786	-0.3848
 3.50	  5250	 0.5409	-0.2269	 0.9969	-0.4750
 4.00	  5250	 0.5678	-0.3371	 1.1378	-0.5293
 4.50	  5250	 0.5694	-0.3654	 1.1829	-0.5475
 5.00	  5250	 0.5627	-0.3724	 1.2079	-0.5601
 0.00	  5500	 0.0780	 1.0130	-0.6231	 0.2644
 0.50	  5500	 0.0736	 1.2561	-0.9240	 0.3375
 1.00	  5500	 0.1813	 1.0585	-0.7587	 0.2847
 1.50	  5500	 0.2369	 0.9581	-0.6511	 0.2364
 2.00	  5500	 0.3000	 0.7364	-0.3350	 0.0901
 2.50	  5500	 0.3372	 0.5991	-0.1267	-0.0118
 3.00	  5500	 0.3896	 0.3965	 0.1610	-0.1432
 3.50	  5500	 0.4515	 0.1515	 0.4965	-0.2891
 4.00	  5500	 0.4971	-0.0240	 0.7277	-0.3850
 4.50	  5500	 0.5153	-0.0979	 0.8284	-0.4274
 5.00	  5500	 0.5155	-0.1157	 0.8657	-0.4464
 0.00	  5750	 0.1655	 0.5347	 0.0804	-0.0436
 0.50	  5750	 0.2738	 0.5966	-0.2361	 0.1220
 1.00	  5750	 0.1690	 1.2117	-1.0180	 0.3895
 1.50	  5750	 0.2529	 0.9909	-0.7630	 0.2858
 2.00	  5750	 0.2908	 0.9205	-0.6876	 0.2513
 2.50	  5750	 0.2877	 0.9030	-0.6125	 0.1995
 3.00	  5750	 0.3162	 0.7610	-0.3787	 0.0829
 3.50	  5750	 0.3634	 0.5550	-0.0748	-0.0569
 4.00	  5750	 0.4084	 0.3744	 0.1762	-0.1677
 4.50	  5750	 0.4482	 0.2143	 0.3961	-0.2625
 5.00	  5750	 0.4605	 0.1648	 0.4712	-0.2983
 0.00	  6000	 0.1711	 0.4280	 0.3091	-0.1750
 0.50	  6000	 0.3257	 0.1919	 0.4426	-0.2017
 1.00	  6000	 0.4299	 0.2233	 0.1523	-0.0310
 1.50	  6000	 0.2490	 1.1527	-1.0616	 0.4163
 2.00	  6000	 0.2881	 1.0460	-0.9311	 0.3603
 2.50	  6000	 0.2880	 1.0237	-0.8648	 0.3178
 3.00	  6000	 0.2864	 0.9895	-0.7719	 0.2611
 3.50	  6000	 0.3091	 0.8689	-0.5716	 0.1606
 4.00	  6000	 0.3466	 0.6879	-0.2931	 0.0294
 4.50	  6000	 0.3854	 0.5328	-0.0761	-0.0672
 5.00	  6000	 0.3979	 0.4796	 0.0096	-0.1102
 0.50	  6250	 0.2721	 0.2562	 0.4779	-0.2568
 1.00	  6250	 0.4318	 0.0071	 0.6104	-0.2784
 1.50	  6250	 0.5310	 0.1132	 0.1773	-0.0410
 2.00	  6250	 0.3400	 1.0001	-0.9678	 0.3861
 2.50	  6250	 0.3128	 1.0665	-1.0194	 0.3969
 3.00	  6250	 0.3005	 1.0665	-0.9765	 0.3642
 3.50	  6250	 0.2913	 1.0367	-0.8767	 0.3015
 4.00	  6250	 0.3155	 0.8917	-0.6355	 0.1824
 4.50	  6250	 0.3430	 0.7652	-0.4430	 0.0913
 5.00	  6250	 0.3656	 0.6836	-0.3257	 0.0354
 0.50	  6500	 0.2292	 0.3636	 0.3736	-0.2265
 1.00	  6500	 0.3445	 0.1540	 0.5661	-0.3052
 1.50	  6500	 0.5392	-0.1888	 0.7832	-0.3548
 2.00	  6500	 0.5742	 0.1309	 0.0729	 0.0002
 2.50	  6500	 0.3652	 0.9841	-0.9844	 0.3881
 3.00	  6500	 0.3194	 1.0933	-1.0801	 0.4150
 3.50	  6500	 0.3027	 1.0741	-0.9918	 0.3587
 4.00	  6500	 0.3271	 0.9427	-0.7863	 0.2599
 4.50	  6500	 0.3380	 0.8694	-0.6594	 0.1951
 5.00	  6500	 0.3616	 0.7837	-0.5386	 0.1375
 0.50	  6750	 0.1419	 0.6504	 0.0496	-0.1182
 1.00	  6750	 0.2804	 0.3325	 0.3752	-0.2390
 1.50	  6750	 0.3845	 0.1435	 0.5450	-0.3103
 2.00	  6750	 0.5733	-0.1801	 0.7203	-0.3362
 2.50	  6750	 0.6113	 0.1302	 0.0066	 0.0251
 3.00	  6750	 0.3693	 0.9851	-0.9862	 0.3766
 3.50	  6750	 0.3476	 1.0006	-0.9619	 0.3535
 4.00	  6750	 0.3351	 0.9798	-0.8889	 0.3095
 4.50	  6750	 0.3371	 0.9362	-0.8062	 0.2656
 5.00	  6750	 0.3482	 0.8762	-0.7077	 0.2148
 0.50	  7000	 0.0443	 0.9793	-0.3376	 0.0193
 1.00	  7000	 0.1922	 0.6511	-0.0080	-0.1014
 1.50	  7000	 0.3151	 0.3431	 0.3222	-0.2274
 2.00	  7000	 0.3996	 0.2026	 0.4319	-0.2735
 2.50	  7000	 0.5690	-0.0536	 0.5100	-0.2556
 3.00	  7000	 0.4937	 0.5800	-0.5431	 0.2229
 3.50	  7000	 0.3664	 0.9808	-0.9652	 0.3535
 4.00	  7000	 0.3509	 0.9827	-0.9366	 0.3329
 4.50	  7000	 0.3471	 0.9567	-0.8808	 0.3027
 5.00	  7000	 0.3474	 0.9147	-0.7956	 0.2559
 0.50	  7250	-0.0383	 1.2772	-0.7166	 0.1640
 1.00	  7250	 0.1081	 0.9778	-0.4256	 0.0571
 1.50	  7250	 0.2431	 0.6423	-0.0654	-0.0799
 2.00	  7250	 0.3381	 0.3794	 0.2329	-0.1983
 2.50	  7250	 0.3988	 0.3041	 0.2621	-0.2111
 3.00	  7250	 0.5370	 0.1664	 0.1739	-0.1194
 3.50	  7250	 0.4435	 0.7762	-0.7808	 0.2996
 4.00	  7250	 0.3852	 0.9453	-0.9499	 0.3465
 4.50	  7250	 0.3624	 0.9630	-0.9338	 0.3292
 5.00	  7250	 0.3500	 0.9444	-0.8678	 0.2890
 0.50	  7500	-0.0845	 1.4841	-1.0148	 0.2817
 1.00	  7500	 0.0466	 1.2430	-0.7962	 0.2070
 1.50	  7500	 0.1845	 0.9356	-0.4837	 0.0893
 2.00	  7500	 0.2871	 0.6543	-0.1665	-0.0341
 2.50	  7500	 0.3478	 0.4567	 0.0787	-0.1365
 3.00	  7500	 0.3881	 0.4424	 0.0317	-0.1181
 3.50	  7500	 0.4820	 0.4604	-0.2540	 0.0539
 4.00	  7500	 0.4451	 0.8271	-0.8734	 0.3283
 4.50	  7500	 0.3747	 0.9643	-0.9619	 0.3397
 5.00	  7500	 0.3606	 0.9580	-0.9225	 0.3144
 1.00	  7750	 0.0216	 1.3620	-0.9854	 0.2860
 1.50	  7750	 0.1594	 1.0993	-0.7507	 0.2035
 2.00	  7750	 0.2666	 0.8418	-0.4769	 0.0978
 2.50	  7750	 0.3268	 0.6579	-0.2573	 0.0098
 3.00	  7750	 0.3561	 0.5308	-0.0750	-0.0738
 3.50	  7750	 0.3732	 0.5927	-0.2173	-0.0166
 4.00	  7750	 0.4536	 0.6730	-0.5973	 0.1982
 4.50	  7750	 0.3796	 0.9781	-0.9973	 0.3523
 5.00	  7750	 0.3705	 0.9637	-0.9541	 0.3261
 1.00	  8000	 0.0151	 1.4068	-1.0873	 0.3336
 1.50	  8000	 0.1544	 1.1567	-0.8732	 0.2594
 2.00	  8000	 0.2783	 0.8901	-0.6144	 0.1640
 2.50	  8000	 0.3440	 0.7207	-0.4258	 0.0895
 3.00	  8000	 0.3707	 0.6108	-0.2756	 0.0252
 3.50	  8000	 0.3699	 0.5633	-0.1710	-0.0342
 4.00	  8000	 0.3784	 0.6921	-0.4282	 0.0781
 4.50	  8000	 0.3933	 0.9254	-0.9308	 0.3224
 5.00	  8000	 0.3824	 0.9745	-1.0031	 0.3485
 1.00	  8250	 0.0468	 1.3254	-1.0452	 0.3295
 1.50	  8250	 0.1449	 1.1926	-0.9467	 0.2919
 2.00	  8250	 0.2824	 0.9118	-0.6924	 0.2025
 2.50	  8250	 0.3699	 0.7093	-0.4872	 0.1252
 3.00	  8250	 0.4066	 0.5994	-0.3538	 0.0704
 3.50	  8250	 0.4125	 0.5380	-0.2507	 0.0229
 4.00	  8250	 0.3760	 0.6122	-0.2867	 0.0144
 4.50	  8250	 0.3576	 0.8622	-0.7144	 0.2001
 5.00	  8250	 0.4315	 0.8825	-0.9532	 0.3401
 1.50	  8500	 0.1420	 1.2030	-0.9828	 0.3087
 2.00	  8500	 0.2770	 0.9366	-0.7521	 0.2299
 2.50	  8500	 0.3806	 0.7036	-0.5285	 0.1491
 3.00	  8500	 0.4337	 0.5687	-0.3841	 0.0929
 3.50	  8500	 0.4479	 0.5069	-0.2956	 0.0538
 4.00	  8500	 0.4371	 0.4917	-0.2423	 0.0246
 4.50	  8500	 0.3778	 0.6755	-0.4221	 0.0712
 5.00	  8500	 0.3488	 0.9804	-0.9308	 0.2932
 1.50	  8750	 0.2481	 1.0080	-0.8443	 0.2657
 2.00	  8750	 0.2757	 0.9491	-0.7902	 0.2466
 2.50	  8750	 0.3826	 0.7170	-0.5801	 0.1741
 3.00	  8750	 0.4442	 0.5668	-0.4294	 0.1180
 3.50	  8750	 0.4677	 0.4883	-0.3330	 0.0788
 4.00	  8750	 0.4721	 0.4391	-0.2475	 0.0380
 4.50	  8750	 0.4502	 0.4599	-0.2321	 0.0208
 5.00	  8750	 0.3682	 0.7792	-0.6075	 0.1481
 1.50	  9000	 0.1591	 1.1397	-0.9424	 0.2982
 2.00	  9000	 0.2746	 0.9605	-0.8254	 0.2629
 2.50	  9000	 0.3856	 0.7210	-0.6107	 0.1890
 3.00	  9000	 0.4521	 0.5622	-0.4577	 0.1340
 3.50	  9000	 0.4831	 0.4717	-0.3573	 0.0945
 4.00	  9000	 0.4879	 0.4339	-0.2984	 0.0677
 4.50	  9000	 0.4818	 0.4079	-0.2375	 0.0375
 5.00	  9000	 0.4736	 0.3724	-0.1569	-0.0009
 2.00	  9250	 0.2750	 0.9634	-0.8481	 0.2746
 2.50	  9250	 0.3880	 0.7258	-0.6400	 0.2037
 3.00	  9250	 0.4620	 0.5501	-0.4738	 0.1449
 3.50	  9250	 0.4992	 0.4486	-0.3675	 0.1043
 4.00	  9250	 0.5039	 0.4183	-0.3249	 0.0856
 4.50	  9250	 0.4992	 0.3945	-0.2712	 0.0583
 5.00	  9250	 0.4914	 0.3671	-0.2061	 0.0263
 2.00	  9500	 0.2826	 0.9447	-0.8432	 0.2743
 2.50	  9500	 0.3948	 0.7134	-0.6452	 0.2076
 3.00	  9500	 0.4729	 0.5306	-0.4758	 0.1491
 3.50	  9500	 0.5120	 0.4305	-0.3792	 0.1148
 4.00	  9500	 0.5241	 0.3832	-0.3199	 0.0893
 4.50	  9500	 0.5181	 0.3709	-0.2878	 0.0725
 5.00	  9500	 0.5061	 0.3639	-0.2532	 0.0541
 2.00	  9750	 0.2969	 0.9076	-0.8185	 0.2672
 2.50	  9750	 0.3999	 0.7074	-0.6604	 0.2169
 3.00	  9750	 0.4787	 0.5245	-0.4917	 0.1584
 3.50	  9750	 0.5249	 0.4039	-0.3721	 0.1153
 4.00	  9750	 0.5398	 0.3576	-0.3235	 0.0969
 4.50	  9750	 0.5392	 0.3362	-0.2854	 0.0783
 5.00	  9750	 0.5277	 0.3328	-0.2578	 0.0622
 2.00	 10000	 0.3159	 0.8604	-0.7849	 0.2575
 2.50	 10000	 0.4125	 0.6776	-0.6468	 0.2147
 3.00	 10000	 0.4860	 0.5086	-0.4913	 0.1603
 3.50	 10000	 0.5311	 0.3944	-0.3825	 0.1224
 4.00	 10000	 0.5552	 0.3224	-0.3071	 0.0947
 4.50	 10000	 0.5561	 0.3067	-0.2844	 0.0845
 5.00	 10000	 0.5456	 0.3099	-0.2706	 0.0748
 2.00	 10250	 0.3397	 0.8002	-0.7376	 0.2434
 2.50	 10250	 0.4291	 0.6351	-0.6183	 0.2067
 3.00	 10250	 0.4966	 0.4835	-0.4831	 0.1604
 3.50	 10250	 0.5396	 0.3734	-0.3761	 0.1221
 4.00	 10250	 0.5654	 0.3004	-0.3022	 0.0954
 4.50	 10250	 0.5717	 0.2763	-0.2763	 0.0857
 5.00	 10250	 0.5653	 0.2735	-0.2600	 0.0762
 2.00	 10500	 0.3671	 0.7259	-0.6706	 0.2206
 2.50	 10500	 0.4508	 0.5782	-0.5751	 0.1941
 3.00	 10500	 0.5108	 0.4463	-0.4606	 0.1550
 3.50	 10500	 0.5476	 0.3530	-0.3712	 0.1234
 4.00	 10500	 0.5727	 0.2813	-0.2981	 0.0969
 4.50	 10500	 0.5832	 0.2474	-0.2627	 0.0837
 5.00	 10500	 0.5822	 0.2383	-0.2459	 0.0752
 2.00	 10750	 0.3927	 0.6577	-0.6103	 0.2006
 2.50	 10750	 0.4743	 0.5144	-0.5228	 0.1778
 3.00	 10750	 0.5263	 0.4032	-0.4308	 0.1471
 3.50	 10750	 0.5603	 0.3173	-0.3477	 0.1170
 4.00	 10750	 0.5800	 0.2615	-0.2923	 0.0974
 4.50	 10750	 0.5926	 0.2217	-0.2496	 0.0812
 5.00	 10750	 0.5960	 0.2048	-0.2278	 0.0718
 2.00	 11000	 0.4140	 0.6001	-0.5594	 0.1840
 2.50	 11000	 0.5009	 0.4385	-0.4537	 0.1543
 3.00	 11000	 0.5459	 0.3459	-0.3844	 0.1329
 3.50	 11000	 0.5722	 0.2803	-0.3221	 0.1101
 4.00	 11000	 0.5877	 0.2371	-0.2799	 0.0954
 4.50	 11000	 0.6000	 0.1977	-0.2360	 0.0782
 5.00	 11000	 0.6070	 0.1737	-0.2091	 0.0676
 2.00	 11250	 0.4365	 0.5368	-0.4980	 0.1621
 2.50	 11250	 0.5242	 0.3704	-0.3913	 0.1330
 3.00	 11250	 0.5664	 0.2832	-0.3288	 0.1143
 3.50	 11250	 0.5853	 0.2386	-0.2907	 0.1011
 4.00	 11250	 0.5960	 0.2073	-0.2591	 0.0896
 4.50	 11250	 0.6058	 0.1764	-0.2248	 0.0762
 5.00	 11250	 0.6165	 0.1428	-0.1867	 0.0611
 2.00	 11500	 0.4509	 0.4986	-0.4651	 0.1517
 2.50	 11500	 0.5471	 0.3035	-0.3298	 0.1124
 3.00	 11500	 0.5887	 0.2115	-0.2600	 0.0901
 3.50	 11500	 0.5999	 0.1878	-0.2461	 0.0864
 4.00	 11500	 0.6042	 0.1753	-0.2351	 0.0827
 4.50	 11500	 0.6113	 0.1519	-0.2081	 0.0718
 5.00	 11500	 0.6216	 0.1213	-0.1739	 0.0584
 2.00	 11750	 0.4641	 0.4627	-0.4316	 0.1400
 2.50	 11750	 0.5674	 0.2441	-0.2743	 0.0932
 3.00	 11750	 0.6061	 0.1556	-0.2097	 0.0734
 3.50	 11750	 0.6137	 0.1391	-0.2032	 0.0724
 4.00	 11750	 0.6122	 0.1432	-0.2099	 0.0750
 4.50	 11750	 0.6158	 0.1285	-0.1900	 0.0660
 5.00	 11750	 0.6249	 0.1018	-0.1600	 0.0542
 2.50	 12000	 0.5867	 0.1876	-0.2210	 0.0747
 3.00	 12000	 0.6241	 0.0958	-0.1527	 0.0537
 3.50	 12000	 0.6285	 0.0840	-0.1500	 0.0536
 4.00	 12000	 0.6234	 0.0975	-0.1671	 0.0601
 4.50	 12000	 0.6200	 0.1049	-0.1730	 0.0614
 5.00	 12000	 0.6255	 0.0892	-0.1545	 0.0539
 2.50	 12250	 0.6033	 0.1398	-0.1765	 0.0596
 3.00	 12250	 0.6403	 0.0430	-0.1032	 0.0368
 3.50	 12250	 0.6399	 0.0397	-0.1094	 0.0401
 4.00	 12250	 0.6308	 0.0626	-0.1359	 0.0498
 4.50	 12250	 0.6247	 0.0786	-0.1513	 0.0547
 5.00	 12250	 0.6275	 0.0703	-0.1389	 0.0486
 2.50	 12500	 0.6178	 0.0987	-0.1385	 0.0466
 3.00	 12500	 0.6557	-0.0072	-0.0555	 0.0203
 3.50	 12500	 0.6517	-0.0058	-0.0660	 0.0251
 4.00	 12500	 0.6382	 0.0280	-0.1056	 0.0403
 4.50	 12500	 0.6296	 0.0494	-0.1246	 0.0456
 5.00	 12500	 0.6279	 0.0550	-0.1287	 0.0463
 2.50	 12750	 0.6295	 0.0675	-0.1122	 0.0383
 3.00	 12750	 0.6702	-0.0538	-0.0110	 0.0049
 3.50	 12750	 0.6631	-0.0499	-0.0230	 0.0099
 4.00	 12750	 0.6444	-0.0038	-0.0768	 0.0309
 4.50	 12750	 0.6324	 0.0275	-0.1072	 0.0405
 5.00	 12750	 0.6294	 0.0373	-0.1145	 0.0418
 2.50	 13000	 0.6435	 0.0289	-0.0758	 0.0258
 3.00	 13000	 0.6841	-0.0973	 0.0304	-0.0096
 3.50	 13000	 0.6737	-0.0901	 0.0148	-0.0028
 4.00	 13000	 0.6520	-0.0394	-0.0432	 0.0196
 4.50	 13000	 0.6377	-0.0027	-0.0791	 0.0311
 5.00	 13000	 0.6297	 0.0227	-0.1046	 0.0397
 2.00	 14000	 0.4880	 0.3955	-0.3741	 0.1246
 2.50	 14000	 0.6824	-0.0713	 0.0121	-0.0024
 3.00	 14000	 0.7364	-0.2527	 0.1759	-0.0588
 3.50	 14000	 0.7220	-0.2573	 0.1775	-0.0594
 4.00	 14000	 0.6897	-0.1955	 0.1122	-0.0356
 4.50	 14000	 0.6624	-0.1297	 0.0435	-0.0110
 5.00	 14000	 0.6436	-0.0742	-0.0158	 0.0106
 2.50	 15000	 0.7044	-0.1224	 0.0531	-0.0139
 3.00	 15000	 0.7762	-0.3644	 0.2785	-0.0929
 3.50	 15000	 0.7582	-0.3809	 0.2979	-0.1014
 4.00	 15000	 0.7170	-0.3131	 0.2302	-0.0773
 4.50	 15000	 0.6825	-0.2391	 0.1543	-0.0501
