#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T13:10:18 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T13:10:18	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=I/239/hip_main&Vmag=%3C3.6&-out.max=999&-out=HIP,RAICRS,DEICRS,Plx,pmRA,pmDE,Vmag,B-V	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
HIP	RAICRS	DEICRS	Plx	pmRA	pmDE	Vmag	B-V
 22449	072.45890935	+06.96124744	 124.60	  463.44	   11.62	 3.19	 0.484
 23015	074.24840098	+33.16613537	   6.37	    3.63	  -18.54	 2.69	 1.490
 23416	075.49222507	+43.82331397	   1.60	    0.18	   -2.31	 3.03	 0.537
 23685	076.36521705	-22.37085673	  14.39	   19.27	  -72.35	 3.19	 1.460
 23767	076.62862102	+41.23464074	  14.87	   30.60	  -68.41	 3.18	-0.148
 23875	076.96264146	-05.08626282	  36.71	  -83.39	  -75.44	 2.78	 0.161
 24305	078.23280460	-16.20542901	  17.69	   45.66	  -16.13	 3.29	-0.110
 24436	078.63446353	-08.20163919	   4.22	    1.87	   -0.56	 0.18	-0.030
 24608	079.17206517	+45.99902927	  77.29	   75.52	 -427.13	 0.08	 0.795
 24674	079.40166225	-06.84438616	   5.88	  -15.31	   -9.57	 3.59	-0.115
 25281	081.11923774	-02.39713844	   3.62	   -0.54	   -3.21	 3.35	-0.240
 25336	081.28278416	+06.34973451	  13.42	   -8.75	  -13.28	 1.64	-0.224
 25428	081.57290804	+28.60787346	  24.89	   23.28	 -174.22	 1.65	-0.130
 25606	082.06135971	-20.75923214	  20.49	   -5.03	  -85.92	 2.81	 0.807
 25930	083.00166562	-00.29909340	   3.56	    1.67	    0.56	 2.25	-0.175
 25985	083.18255798	-17.82229227	   2.54	    3.27	    1.54	 2.58	 0.211
 26207	083.78449043	+09.93416294	   3.09	   -1.03	   -1.86	 3.39	-0.160
 26241	083.85825475	-05.90989984	   2.46	    2.27	   -0.62	 2.75	-0.210
 26311	084.05338572	-01.20191725	   2.43	    1.49	   -1.06	 1.69	-0.184
 26451	084.41118447	+21.14259299	   7.82	    2.39	  -18.04	 2.97	-0.148
 26634	084.91224975	-34.07404941	  12.16	   -0.10	  -24.05	 2.65	-0.120
 26727	085.18968672	-01.94257841	   3.99	    3.99	    2.54	 1.74	-0.199
 27072	086.11656241	-22.44748663	 111.49	 -292.42	 -368.45	 3.59	 0.481
 27288	086.73895728	-14.82194717	  46.47	  -14.84	   -1.18	 3.55	 0.104
 27366	086.93911641	-09.66960186	   4.52	    1.55	   -1.20	 2.07	-0.168
 27628	087.73980340	-35.76929225	  37.94	   55.74	  404.68	 3.12	 1.146
 27989	088.79287161	+07.40703634	   7.63	   27.33	   10.86	 0.45	 1.500
 28360	089.88237261	+44.94743492	  39.72	  -56.41	   -0.88	 1.90	 0.077
 28380	089.93015897	+37.21276409	  18.83	   42.09	  -73.61	 2.65	-0.083
 29655	093.71956952	+22.50682376	   9.34	  -62.53	  -10.24	 3.31	 1.600
 30122	095.07827982	-30.06337656	   9.70	    8.00	    3.81	 3.02	-0.160
 30324	095.67494750	-17.95591658	   6.53	   -3.45	   -0.47	 1.98	-0.240
 30343	095.73996302	+22.51385027	  14.07	   56.84	 -108.79	 2.87	 1.621
 30438	095.98787763	-52.69571799	  10.43	   19.99	   23.67	-0.62	 0.164
 31681	099.42792641	+16.39941482	  31.12	   -2.04	  -66.92	 1.93	 0.001
 31685	099.44029869	-43.19592394	   7.71	   -0.43	   -3.99	 3.17	-0.103
 32246	100.98304088	+25.13115531	   3.61	   -5.93	  -12.81	 3.06	 1.377
 32349	101.28854105	-16.71314306	 379.21	 -546.01	-1223.08	-1.44	 0.009
 32362	101.32263980	+12.89605513	  57.02	 -115.16	 -190.91	 3.35	 0.443
 32607	102.04807134	-61.94197988	  32.96	  -68.39	  242.03	 3.24	 0.225
 32759	102.46027285	-32.50848752	   4.13	   -9.18	    4.04	 3.50	-0.116
 32768	102.48390349	-50.61439973	  17.85	   34.23	  -65.85	 2.94	 1.207
 33579	104.65644451	-28.97208931	   7.57	    2.63	    2.29	 1.50	-0.211
 33856	105.42979876	-27.93484165	   2.68	   -6.01	    4.64	 3.49	 1.729
 33977	105.75613986	-23.83330131	   1.27	   -1.56	    4.28	 3.02	-0.077
 34444	107.09785853	-26.39320776	   1.82	   -2.75	    3.33	 1.83	 0.671
 35264	109.28568399	-37.09748689	   2.98	  -10.57	    7.00	 2.71	 1.616
 35350	109.52336162	+16.54047526	  34.59	  -46.09	  -37.90	 3.58	 0.106
 35550	110.03078890	+21.98233941	  55.45	  -18.72	   -7.76	 3.50	 0.374
 35904	111.02377104	-29.30311979	   1.02	   -3.76	    6.66	 2.45	-0.083
 36188	111.78780121	+08.28940893	  19.16	  -50.28	  -38.45	 2.89	-0.097
 36377	112.30782630	-43.30189129	  17.74	  -59.86	  188.73	 3.25	 1.509
 36850	113.65001898	+31.88863645	  63.27	 -206.33	 -148.18	 1.58	 0.034
 37279	114.82724194	+05.22750767	 285.93	 -716.57	-1034.58	 0.40	 0.432
 37740	116.11195237	+24.39812929	  22.73	  -22.45	  -56.24	 3.57	 0.932
 37826	116.33068263	+28.02631031	  96.74	 -625.69	  -45.95	 1.16	 0.991
 38170	117.32357809	-24.85978401	   2.42	   -5.56	   -0.71	 3.34	 1.218
 38827	119.19475729	-52.98240062	   8.43	  -28.38	   16.76	 3.46	-0.177
 39429	120.89612561	-40.00318846	   2.33	  -30.82	   16.77	 2.21	-0.269
 39757	121.88625899	-24.30443677	  51.99	  -83.29	   46.38	 2.83	 0.458
 39953	122.38314727	-47.33661177	   3.88	   -5.93	    9.90	 1.75	-0.145
 40526	124.12895101	+09.18566295	  11.23	  -46.80	  -48.65	 3.53	 1.481
 41037	125.62860299	-59.50953829	   5.16	  -25.34	   22.72	 1.86	 1.196
 41704	127.56679232	+60.71843110	  17.76	 -134.31	 -107.73	 3.35	 0.856
 42913	131.17582214	-54.70856797	  40.90	   28.78	 -104.14	 1.93	 0.043
 43109	131.69435930	+06.41890691	  24.13	 -231.04	  -40.17	 3.38	 0.685
 43813	133.84868687	+05.94552770	  21.64	  -99.76	   14.65	 3.11	 0.978
 44127	134.80349479	+48.04234956	  68.32	 -441.12	 -215.21	 3.12	 0.223
 44471	135.90649494	+47.15665934	   7.71	  -37.37	  -55.39	 3.57	 0.007
 44816	136.99907126	-43.43262406	   5.69	  -23.21	   14.28	 2.23	 1.665
 45080	137.74210535	-58.96693014	   7.79	  -17.67	   14.14	 3.43	-0.190
 45238	138.30100329	-69.71747245	  29.34	 -157.66	  108.91	 1.67	 0.070
 45556	139.27261834	-59.27526115	   4.71	  -19.03	   13.11	 2.21	 0.189
 45860	140.26441169	+34.39252592	  14.69	 -222.80	   14.78	 3.14	 1.550
 45941	140.52845511	-55.01069531	   6.05	  -10.72	   11.24	 2.47	-0.141
 46390	141.89688260	-08.65868335	  18.40	  -14.49	   33.25	 1.99	 1.440
 46701	142.80564072	-57.03439160	  13.72	  -32.58	    6.08	 3.16	 1.538
 46853	143.21802191	+51.67860208	  74.15	 -947.06	 -535.60	 3.17	 0.475
 47508	145.28799116	+09.89239902	  24.12	 -143.67	  -37.45	 3.52	 0.516
 47908	146.46292670	+23.77427792	  13.01	  -46.09	   -9.57	 2.97	 0.808
 48002	146.77557340	-65.07201888	   2.01	  -11.55	    4.97	 2.92	 0.273
 48774	149.21564520	-54.56779730	   1.69	  -13.13	    2.83	 3.52	-0.067
 49583	151.83313948	+16.76266572	   1.53	   -1.94	   -0.53	 3.48	-0.031
 49669	152.09358075	+11.96719513	  42.09	 -249.40	    4.91	 1.36	-0.087
 50099	153.43449551	-70.03792169	   8.81	  -35.73	    7.55	 3.29	-0.074
 50335	154.17251805	+23.41732840	  12.56	   19.84	   -7.30	 3.43	 0.307
 50371	154.27085535	-61.33231977	   4.43	  -24.25	    6.38	 3.39	 1.541
 50372	154.27469564	+42.91446855	  24.27	 -170.11	  -42.64	 3.45	 0.029
 50583	154.99234054	+19.84186032	  25.96	  310.77	 -152.88	 2.01	 1.128
 50801	155.58251355	+41.49943350	  13.11	  -80.47	   34.10	 3.06	 1.603
 51576	158.00618250	-61.68536031	   6.56	  -16.59	   11.42	 3.30	-0.089
 52419	160.73927802	-64.39447937	   7.43	  -18.87	   12.06	 2.74	-0.220
 52727	161.69217542	-49.42012517	  28.18	   62.55	  -53.57	 2.69	 0.901
 52943	162.40596699	-16.19413208	  23.54	   92.77	  199.02	 3.11	 1.232
 53910	165.45996150	+56.38234478	  41.07	   81.66	   33.74	 2.34	 0.033
 54061	165.93265365	+61.75111888	  26.38	 -136.46	  -35.25	 1.81	 1.061
 54539	167.41608092	+44.49855337	  22.21	  -62.35	  -27.38	 3.00	 1.144
 54872	168.52671705	+20.52403384	  56.52	  143.31	 -130.43	 2.56	 0.128
 54879	168.56017036	+15.42976310	  18.36	  -59.01	  -79.37	 3.33	-0.003
 55219	169.61981385	+33.09423881	   7.74	  -26.61	   27.51	 3.49	 1.400
 55282	169.83551103	-14.77904358	  16.75	 -124.47	  206.61	 3.56	 1.112
 56343	173.25107936	-31.85752405	  25.23	 -209.09	  -41.60	 3.54	 0.947
 56561	173.94553448	-63.01982488	   7.96	  -33.84	   -6.87	 3.11	-0.044
 57632	177.26615977	+14.57233687	  90.16	 -499.02	 -113.78	 2.14	 0.090
 57757	177.67202553	+01.76537705	  91.74	  740.96	 -271.18	 3.59	 0.518
 58001	178.45725536	+53.69473296	  38.99	  107.76	   11.16	 2.41	 0.044
 59196	182.08976505	-50.72240999	   8.25	  -47.53	   -6.42	 2.58	-0.128
 59316	182.53135773	-22.61979211	  10.75	  -71.52	   10.55	 3.02	 1.326
 59747	183.78648733	-58.74890179	   8.96	  -36.68	  -10.72	 2.79	-0.193
 59774	183.85603795	+57.03259792	  40.05	  103.56	    7.81	 3.32	 0.077
 59803	183.95194937	-17.54198370	  19.78	 -159.58	   22.31	 2.58	-0.107
 60260	185.34088036	-60.40136988	  14.30	 -171.06	   91.82	 3.59	 1.389
 60718	186.64975585	-63.09905586	  10.17	  -35.37	  -14.73	 0.77	-0.243
 60965	187.46659650	-16.51509397	  37.11	 -209.97	 -139.30	 2.94	-0.012
 61084	187.79137202	-57.11256922	  37.09	   27.94	 -264.33	 1.59	 1.600
 61359	188.59680864	-23.39662306	  23.34	    0.86	  -56.00	 2.65	 0.893
 61585	189.29618208	-69.13553358	  10.67	  -39.87	  -12.44	 2.69	-0.176
 61932	190.38002079	-48.95988553	  25.01	 -187.28	   -1.20	 2.20	-0.023
 61941	190.41667557	-01.44952231	  84.53	 -616.66	   60.66	 2.74	 0.368
 62322	191.57029013	-68.10809405	  10.48	  -40.40	  -10.32	 3.04	-0.178
 62434	191.93049537	-59.68873246	   9.25	  -48.24	  -12.82	 1.25	-0.238
 62956	193.50680410	+55.95984301	  40.30	  111.74	   -8.99	 1.76	-0.022
 63090	193.90201366	+03.39759862	  16.11	 -471.44	  -52.81	 3.39	 1.571
 63125	194.00767051	+38.31824617	  29.60	 -233.43	   54.98	 2.89	-0.115
 63608	195.54483557	+10.95910186	  31.90	 -275.05	   19.96	 2.85	 0.934
 64962	199.73022240	-23.17141246	  24.69	   68.41	  -41.09	 2.99	 0.920
 65109	200.15027321	-36.71208109	  55.64	 -340.76	  -87.98	 2.75	 0.068
 65378	200.98091604	+54.92541525	  41.73	  121.23	  -22.01	 2.23	 0.057
 65474	201.29835230	-11.16124491	  12.44	  -42.50	  -31.73	 0.98	-0.235
 66249	203.67397800	-00.59593821	  44.55	 -278.89	   48.56	 3.38	 0.114
 66657	204.97196962	-53.46636269	   8.68	  -14.60	  -12.79	 2.29	-0.171
 67301	206.88560880	+49.31330288	  32.39	 -121.23	  -15.56	 1.85	-0.099
 67464	207.37623920	-41.68765971	   6.87	  -26.01	  -20.38	 3.41	-0.225
 67472	207.40419934	-42.47368506	   6.19	  -23.85	  -19.22	 3.47	-0.170
 67927	208.67131750	+18.39858742	  88.17	  -60.95	 -358.10	 2.68	 0.580
 68002	208.88514539	-47.28826634	   8.48	  -57.14	  -44.75	 2.55	-0.176
 68702	210.95601898	-60.37297840	   6.21	  -33.96	  -25.06	 0.61	-0.231
 68895	211.59278733	-26.68201883	  32.17	   43.05	 -140.82	 3.25	 1.091
 68933	211.67218608	-36.36869575	  53.52	 -519.29	 -517.87	 2.06	 1.011
 69673	213.91811403	+19.18726997	  88.85	-1093.45	-1999.40	-0.05	 1.239
 69996	214.85096972	-46.05808391	   9.27	  -12.81	   -3.79	 3.55	-0.184
 71053	217.95774098	+30.37114497	  21.92	 -100.44	  120.22	 3.57	 1.298
 71075	218.01982421	+38.30788348	  38.29	 -115.55	  151.87	 3.04	 0.191
 71352	218.87688163	-42.15774562	  10.57	  -35.31	  -32.44	 2.33	-0.157
 71681	219.91412833	-60.83947139	 742.12	-3600.35	  952.11	 1.35	 0.900
 71683	219.92041034	-60.83514707	 742.12	-3678.19	  481.84	-0.01	 0.710
 71860	220.48239101	-47.38814127	   5.95	  -21.15	  -24.22	 2.30	-0.154
 71908	220.62785433	-64.97456957	  60.97	 -192.64	 -234.07	 3.18	 0.256
 72105	221.24687869	+27.07417383	  15.55	  -50.65	   20.00	 2.35	 0.966
 72607	222.67664751	+74.15547596	  25.79	  -32.29	   11.91	 2.07	 1.465
 72622	222.71990536	-16.04161047	  42.25	 -105.69	  -69.00	 2.75	 0.147
 73273	224.63314193	-43.13386699	   6.23	  -34.06	  -38.30	 2.68	-0.184
 73334	224.79041254	-42.10414199	   6.05	  -17.76	  -21.33	 3.13	-0.208
 73555	225.48663804	+40.39063671	  14.91	  -40.20	  -29.22	 3.49	 0.956
 73714	226.01775793	-25.28185602	  11.17	  -71.85	  -44.69	 3.25	 1.674
 74395	228.07167982	-52.09907465	  28.06	 -113.94	  -71.00	 3.41	 0.918
 74666	228.87543241	+33.31510222	  27.94	   84.84	 -110.57	 3.46	 0.961
 74785	229.25196591	-09.38286694	  20.38	  -96.39	  -20.76	 2.61	-0.071
 74946	229.72787007	-68.67946723	  17.85	  -66.48	  -32.00	 2.87	 0.014
 75097	230.18228840	+71.83397308	   6.79	  -18.03	   17.68	 3.00	 0.058
 75141	230.34306833	-40.64745946	   6.39	  -19.11	  -24.05	 3.22	-0.227
 75177	230.45181856	-36.26116729	   9.99	  -91.85	  -86.03	 3.57	 1.534
 75264	230.67036465	-44.68957314	   6.47	  -20.25	  -20.13	 3.37	-0.191
 75458	231.23243370	+58.96602354	  31.92	   -8.27	   17.30	 3.29	 1.166
 76267	233.67162293	+26.71491041	  43.65	  120.38	  -89.44	 2.22	 0.032
 76297	233.78525156	-41.16669497	   5.75	  -16.05	  -25.52	 2.80	-0.216
 77070	236.06664914	+06.42551971	  44.54	  134.66	   44.14	 2.63	 1.167
 77516	237.40527375	-03.43014112	  20.94	  -98.07	  -27.41	 3.54	-0.036
 77952	238.78670013	-63.42974973	  81.24	 -188.45	 -401.92	 2.83	 0.315
 78265	239.71300283	-26.11404280	   7.10	  -12.00	  -25.71	 2.89	-0.180
 78384	240.03058543	-38.39664079	   6.61	  -16.58	  -27.06	 3.42	-0.206
 78401	240.08338225	-22.62162024	   8.12	   -8.67	  -36.90	 2.29	-0.117
 78820	241.35931206	-19.80539286	   6.15	   -6.75	  -24.89	 2.56	-0.065
 79593	243.58652601	-03.69397562	  19.16	  -45.83	 -142.91	 2.73	 1.584
 79882	244.58016994	-04.69260809	  30.34	   82.39	   40.08	 3.23	 0.966
 80112	245.29717718	-25.59275259	   4.44	  -10.03	  -18.03	 2.90	 0.299
 80331	245.99794523	+61.51407536	  37.18	  -16.98	   56.68	 2.73	 0.910
 80763	247.35194804	-26.43194608	   5.40	  -10.16	  -23.21	 1.06	 1.865
 80816	247.55525697	+21.48964850	  22.07	  -98.43	  -14.49	 2.78	 0.947
 81266	248.97066423	-28.21596156	   7.59	   -8.59	  -22.50	 2.82	-0.206
 81377	249.28970847	-10.56715180	   7.12	   13.07	   25.44	 2.54	 0.038
 81693	250.32282132	+31.60188695	  92.63	 -462.58	  345.05	 2.81	 0.650
 81833	250.72391068	+38.92246103	  29.11	   35.58	  -84.98	 3.48	 0.916
 82273	252.16610742	-69.02763503	   7.85	   17.85	  -32.92	 1.91	 1.447
 82396	252.54268738	-34.29260982	  49.85	 -611.83	 -255.87	 2.29	 1.144
 82514	252.96766195	-38.04732717	   3.97	   -8.84	  -21.60	 3.00	-0.200
 82545	253.08397295	-38.01747781	   6.31	  -12.92	  -23.80	 3.56	-0.210
 83000	254.41779418	+09.37505626	  37.99	 -293.03	   -9.70	 3.19	 1.160
 83081	254.65512817	-55.99005508	   5.68	  -18.31	  -35.29	 3.12	 1.552
 83895	257.19677111	+65.71463676	   9.60	  -20.76	   19.15	 3.17	-0.120
 84012	257.59442659	-15.72514757	  38.77	   41.16	   97.65	 2.43	 0.059
 84143	258.03823300	-43.23849039	  45.56	   22.01	 -287.41	 3.32	 0.441
 84345	258.66192687	+14.39025314	   8.53	   -6.71	   32.78	 2.78	 1.164
 84379	258.75801735	+24.83958739	  41.55	  -21.14	 -157.68	 3.12	 0.080
 84380	258.76189282	+36.80915527	   8.89	  -27.35	    2.70	 3.16	 1.437
 84970	260.50243371	-24.99948797	   5.79	   -8.84	  -23.64	 3.27	-0.186
 85258	261.32498828	-55.52982397	   5.41	   -8.23	  -24.71	 2.84	 1.479
 85267	261.34858274	-56.37768824	   2.87	   -0.77	  -15.85	 3.31	-0.150
 85670	262.60823708	+52.30135901	   9.02	  -15.59	   11.57	 2.79	 0.954
 85696	262.69099501	-37.29574016	   6.29	   -4.19	  -29.14	 2.70	-0.179
 85792	262.96050661	-49.87598159	  13.46	  -31.27	  -67.15	 2.84	-0.136
 85927	263.40219373	-37.10374835	   4.64	   -8.90	  -29.95	 1.62	-0.231
 86032	263.73335321	+12.56057584	  69.84	  110.08	 -222.61	 2.08	 0.155
 86228	264.32969072	-42.99782155	  11.99	    6.06	   -0.95	 1.86	 0.406
 86263	264.39677181	-15.39840835	  30.93	  -39.30	  -61.27	 3.54	 0.262
 86670	265.62199908	-39.02992092	   7.03	   -6.49	  -25.55	 2.39	-0.171
 86742	265.86823714	+04.56691684	  39.78	  -40.67	  158.80	 2.76	 1.168
 86974	266.61549553	+27.72249917	 119.05	 -291.42	 -750.00	 3.42	 0.750
 87073	266.89617137	-40.12698197	   1.82	    0.44	   -6.40	 2.99	 0.509
 87261	267.46438020	-37.04337105	  25.71	   42.09	   27.77	 3.19	 1.192
 87833	269.15157439	+51.48895101	  22.10	   -8.52	  -23.05	 2.24	 1.521
 88048	269.75665662	-09.77334973	  21.35	  -10.31	 -116.12	 3.32	 0.987
 88635	271.45218586	-30.42365007	  33.94	  -55.75	 -181.53	 2.98	 0.981
 89642	274.40720490	-36.76128103	  21.87	 -129.27	 -166.61	 3.10	 1.582
 89931	275.24842337	-29.82803914	  10.67	   29.96	  -26.38	 2.72	 1.380
